TargetAmount,OrderDate,ActualAmount,ProductCategory,Country
720.75,1/8/2015,4769.04,Clothing,Canada
2180.75,1/8/2015,840.84,Accessories,United States
627.5,1/8/2015,22.56,Accessories,France
539,1/8/2015,6028.18,Accessories,Germany
80.75,1/8/2015,0,Accessories,United Kingdom
396.75,1/8/2015,544.98,Accessories,Australia
435.25,1/8/2015,0,Accessories,Canada
528.5,1/9/2015,32.27,Bikes,Canada
314.5,1/9/2015,34.99,Bikes,United Kingdom
2877.75,1/9/2015,807.89,Bikes,United States
818.25,1/9/2015,70.26,Bikes,France
795.5,1/9/2015,539.99,Bikes,Germany
768,1/9/2015,67.97,Bikes,Australia
12609.75,1/9/2015,7645.18,Components,United States
1473,1/9/2015,568.76,Components,France
720.75,1/9/2015,2.29,Clothing,Canada
680.25,1/9/2015,13.98,Clothing,United Kingdom
3196.5,1/9/2015,10048.8,Clothing,United States
459.75,1/9/2015,0,Clothing,France
591.25,1/9/2015,0,Clothing,Germany
802.75,1/9/2015,13.98,Clothing,Australia
435.25,1/9/2015,64.99,Accessories,Canada
80.75,1/9/2015,8.99,Accessories,United Kingdom
2180.75,1/9/2015,56.97,Accessories,United States
627.5,1/9/2015,25.48,Accessories,France
539,1/9/2015,0,Accessories,Germany
396.75,1/9/2015,1709.98,Accessories,Australia
2854.75,1/10/2015,290.21,Bikes,United States
718.5,1/10/2015,96.57,Bikes,France
469.75,1/10/2015,4644.96,Bikes,Germany
673.5,1/10/2015,39.53,Bikes,Australia
433,1/10/2015,34.99,Bikes,United Kingdom
676.25,1/10/2015,1342.23,Bikes,Canada
2131.75,1/10/2015,8119.43,Clothing,United States
523.25,1/10/2015,1925.82,Clothing,France
789,1/10/2015,2.29,Clothing,Germany
523.5,1/10/2015,2444.97,Clothing,Australia
527.25,1/10/2015,38.97,Clothing,United Kingdom
376.75,1/10/2015,78.97,Clothing,Canada
3153.25,1/10/2015,857.74,Accessories,United States
374.25,1/10/2015,8.99,Accessories,France
611.25,1/10/2015,97.46,Accessories,Germany
714,1/10/2015,14.98,Accessories,Australia
843.75,1/10/2015,0,Accessories,United Kingdom
521.25,1/10/2015,2398.04,Accessories,Canada
676.25,1/11/2015,93.91,Bikes,Canada
718.5,1/11/2015,4.99,Bikes,France
673.5,1/11/2015,1440.28,Bikes,Australia
2854.75,1/11/2015,1529.97,Bikes,United States
469.75,1/11/2015,63.5,Bikes,Germany
433,1/11/2015,4.99,Bikes,United Kingdom
376.75,1/11/2015,151.94,Clothing,Canada
523.25,1/11/2015,59.48,Clothing,France
523.5,1/11/2015,4767.04,Clothing,Australia
2131.75,1/11/2015,1033.21,Clothing,United States
789,1/11/2015,2513.98,Clothing,Germany
527.25,1/11/2015,68.49,Clothing,United Kingdom
521.25,1/11/2015,13.98,Accessories,Canada
374.25,1/11/2015,1705.98,Accessories,France
714,1/11/2015,63.98,Accessories,Australia
3153.25,1/11/2015,3675.54,Accessories,United States
611.25,1/11/2015,0,Accessories,Germany
843.75,1/11/2015,1718.97,Accessories,United Kingdom
673.5,1/12/2015,3668.18,Bikes,Australia
433,1/12/2015,49.99,Bikes,United Kingdom
2854.75,1/12/2015,128.96,Bikes,United States
469.75,1/12/2015,0,Bikes,Germany
676.25,1/12/2015,124.97,Bikes,Canada
718.5,1/12/2015,0,Bikes,France
523.5,1/12/2015,1189.05,Clothing,Australia
527.25,1/12/2015,4.99,Clothing,United Kingdom
2131.75,1/12/2015,4724.32,Clothing,United States
789,1/12/2015,2384.07,Clothing,Germany
376.75,1/12/2015,100.24,Clothing,Canada
523.25,1/12/2015,0,Clothing,France
714,1/12/2015,3704.04,Accessories,Australia
843.75,1/12/2015,34.99,Accessories,United Kingdom
3153.25,1/12/2015,2385.93,Accessories,United States
611.25,1/12/2015,0,Accessories,Germany
521.25,1/12/2015,88.99,Accessories,Canada
374.25,1/12/2015,0,Accessories,France
469.75,1/13/2015,0,Bikes,Germany
433,1/13/2015,784.47,Bikes,United Kingdom
718.5,1/13/2015,2419.06,Bikes,France
676.25,1/13/2015,1244.11,Bikes,Canada
673.5,1/13/2015,1249.84,Bikes,Australia
2854.75,1/13/2015,2459.5,Bikes,United States
431,1/13/2015,7435.59,Components,Australia
789,1/13/2015,0,Clothing,Germany
527.25,1/13/2015,8.99,Clothing,United Kingdom
523.25,1/13/2015,1129.48,Clothing,France
376.75,1/13/2015,3185.52,Clothing,Canada
523.5,1/13/2015,5288.69,Clothing,Australia
2131.75,1/13/2015,3012.31,Clothing,United States
611.25,1/13/2015,539.99,Accessories,Germany
843.75,1/13/2015,38.98,Accessories,United Kingdom
374.25,1/13/2015,8.99,Accessories,France
521.25,1/13/2015,8.99,Accessories,Canada
714,1/13/2015,539.99,Accessories,Australia
3153.25,1/13/2015,42.28,Accessories,United States
2659.75,1/14/2015,5847.2,Bikes,United States
659.25,1/14/2015,0,Bikes,France
716.75,1/14/2015,3.99,Bikes,United Kingdom
302.5,1/14/2015,1120.49,Bikes,Germany
688.5,1/14/2015,2501.9,Bikes,Australia
745.5,1/14/2015,9.99,Bikes,Canada
1449.75,1/14/2015,2517.4,Components,France
1648,1/14/2015,131.95,Components,United Kingdom
2792.25,1/14/2015,3102.07,Clothing,United States
444.75,1/14/2015,60.96,Clothing,France
349,1/14/2015,119.98,Clothing,United Kingdom
525,1/14/2015,0,Clothing,Germany
676.5,1/14/2015,2473.06,Clothing,Australia
572.5,1/14/2015,129.95,Clothing,Canada
2855.5,1/14/2015,3651.73,Accessories,United States
309.5,1/14/2015,2344.48,Accessories,France
560.25,1/14/2015,1805.97,Accessories,United Kingdom
402.25,1/14/2015,1282.31,Accessories,Germany
665.75,1/14/2015,606.25,Accessories,Australia
601.75,1/14/2015,39.98,Accessories,Canada
659.25,1/15/2015,6.28,Bikes,France
716.75,1/15/2015,0,Bikes,United Kingdom
2659.75,1/15/2015,1863.79,Bikes,United States
302.5,1/15/2015,3060.53,Bikes,Germany
688.5,1/15/2015,1847.56,Bikes,Australia
745.5,1/15/2015,44.96,Bikes,Canada
1331.5,1/15/2015,3237.8,Components,Canada
444.75,1/15/2015,63.86,Clothing,France
349,1/15/2015,5343.12,Clothing,United Kingdom
2792.25,1/15/2015,3495.73,Clothing,United States
525,1/15/2015,4.99,Clothing,Germany
676.5,1/15/2015,4027.15,Clothing,Australia
572.5,1/15/2015,83.47,Clothing,Canada
309.5,1/15/2015,2.29,Accessories,France
560.25,1/15/2015,2294.99,Accessories,United Kingdom
2855.5,1/15/2015,54.98,Accessories,United States
402.25,1/15/2015,0,Accessories,Germany
665.75,1/15/2015,5024.36,Accessories,Australia
601.75,1/15/2015,15.27,Accessories,Canada
745.5,1/16/2015,1158.44,Bikes,Canada
2659.75,1/16/2015,1641.3,Bikes,United States
659.25,1/16/2015,1180.47,Bikes,France
302.5,1/16/2015,89.97,Bikes,Germany
688.5,1/16/2015,1793.24,Bikes,Australia
716.75,1/16/2015,50.48,Bikes,United Kingdom
3106.5,1/16/2015,3323.72,Components,United States
449.75,1/16/2015,4165.95,Components,France
572.5,1/16/2015,146.95,Clothing,Canada
2792.25,1/16/2015,3708.65,Clothing,United States
444.75,1/16/2015,539.99,Clothing,France
525,1/16/2015,1227.83,Clothing,Germany
676.5,1/16/2015,1936.25,Clothing,Australia
349,1/16/2015,1705.98,Clothing,United Kingdom
601.75,1/16/2015,68.56,Accessories,Canada
2855.5,1/16/2015,177.41,Accessories,United States
309.5,1/16/2015,0,Accessories,France
402.25,1/16/2015,4.99,Accessories,Germany
665.75,1/16/2015,82.48,Accessories,Australia
560.25,1/16/2015,2395.34,Accessories,United Kingdom
2636.75,1/17/2015,31.77,Bikes,United States
282,1/17/2015,4.99,Bikes,United Kingdom
594,1/17/2015,136.83,Bikes,Australia
529.75,1/17/2015,4599.95,Bikes,Germany
340,1/17/2015,0,Bikes,Canada
559.5,1/17/2015,34.99,Bikes,France
1445.75,1/17/2015,3048.16,Components,Germany
449.75,1/17/2015,414.22,Components,Canada
2833.75,1/17/2015,1786.47,Clothing,United States
749,1/17/2015,4.99,Clothing,United Kingdom
397,1/17/2015,2290.97,Clothing,Australia
722.75,1/17/2015,566.47,Clothing,Germany
781.5,1/17/2015,873.74,Clothing,Canada
508.5,1/17/2015,4.99,Clothing,France
3275.25,1/17/2015,46.93,Accessories,United States
218,1/17/2015,29.99,Accessories,United Kingdom
430,1/17/2015,3440.48,Accessories,Australia
474.25,1/17/2015,32.6,Accessories,Germany
687.5,1/17/2015,139.98,Accessories,Canada
609.25,1/17/2015,0,Accessories,France
340,1/18/2015,642.47,Bikes,Canada
559.5,1/18/2015,9.99,Bikes,France
594,1/18/2015,5273.29,Bikes,Australia
282,1/18/2015,2409.03,Bikes,United Kingdom
2636.75,1/18/2015,669.95,Bikes,United States
529.75,1/18/2015,599.96,Bikes,Germany
2354.5,1/18/2015,4396.97,Components,Australia
781.5,1/18/2015,166.95,Clothing,Canada
508.5,1/18/2015,4.99,Clothing,France
397,1/18/2015,42.76,Clothing,Australia
749,1/18/2015,1734.97,Clothing,United Kingdom
2833.75,1/18/2015,3526.96,Clothing,United States
722.75,1/18/2015,48.97,Clothing,Germany
687.5,1/18/2015,0,Accessories,Canada
609.25,1/18/2015,63.97,Accessories,France
430,1/18/2015,776.33,Accessories,Australia
218,1/18/2015,636.25,Accessories,United Kingdom
3275.25,1/18/2015,126.24,Accessories,United States
474.25,1/18/2015,25.48,Accessories,Germany
594,1/19/2015,835.32,Bikes,Australia
282,1/19/2015,3134.47,Bikes,United Kingdom
2636.75,1/19/2015,3451.88,Bikes,United States
529.75,1/19/2015,26.48,Bikes,Germany
340,1/19/2015,2384.07,Bikes,Canada
559.5,1/19/2015,0,Bikes,France
397,1/19/2015,88.47,Clothing,Australia
749,1/19/2015,62.26,Clothing,United Kingdom
2833.75,1/19/2015,4877.26,Clothing,United States
722.75,1/19/2015,1191.25,Clothing,Germany
781.5,1/19/2015,18.97,Clothing,Canada
508.5,1/19/2015,68.97,Clothing,France
430,1/19/2015,73.45,Accessories,Australia
218,1/19/2015,3.99,Accessories,United Kingdom
3275.25,1/19/2015,18.98,Accessories,United States
474.25,1/19/2015,3.99,Accessories,Germany
687.5,1/19/2015,0,Accessories,Canada
609.25,1/19/2015,7.28,Accessories,France
559.5,1/20/2015,589.98,Bikes,France
529.75,1/20/2015,747.34,Bikes,Germany
282,1/20/2015,2393.05,Bikes,United Kingdom
340,1/20/2015,73.98,Bikes,Canada
594,1/20/2015,1775.2,Bikes,Australia
2636.75,1/20/2015,155.87,Bikes,United States
508.5,1/20/2015,0,Clothing,France
722.75,1/20/2015,726.38,Clothing,Germany
749,1/20/2015,656.95,Clothing,United Kingdom
781.5,1/20/2015,53.99,Clothing,Canada
397,1/20/2015,574.46,Clothing,Australia
2833.75,1/20/2015,3159.82,Clothing,United States
609.25,1/20/2015,34.99,Accessories,France
474.25,1/20/2015,136.93,Accessories,Germany
218,1/20/2015,579.97,Accessories,United Kingdom
687.5,1/20/2015,0,Accessories,Canada
430,1/20/2015,1771.73,Accessories,Australia
3275.25,1/20/2015,5455.66,Accessories,United States
340,1/21/2015,29.48,Bikes,Canada
2636.75,1/21/2015,282.94,Bikes,United States
559.5,1/21/2015,2414.45,Bikes,France
282,1/21/2015,8.99,Bikes,United Kingdom
529.75,1/21/2015,3.99,Bikes,Germany
594,1/21/2015,152.55,Bikes,Australia
445.75,1/21/2015,1303.44,Components,Germany
781.5,1/21/2015,4.99,Clothing,Canada
2833.75,1/21/2015,114.24,Clothing,United States
508.5,1/21/2015,50.57,Clothing,France
749,1/21/2015,0,Clothing,United Kingdom
722.75,1/21/2015,802.32,Clothing,Germany
397,1/21/2015,22.97,Clothing,Australia
687.5,1/21/2015,38.99,Accessories,Canada
3275.25,1/21/2015,2498.34,Accessories,United States
609.25,1/21/2015,39.99,Accessories,France
218,1/21/2015,58.98,Accessories,United Kingdom
474.25,1/21/2015,21.49,Accessories,Germany
430,1/21/2015,13.98,Accessories,Australia
2636.75,1/22/2015,13.98,Bikes,United States
282,1/22/2015,1660.48,Bikes,United Kingdom
559.5,1/22/2015,0,Bikes,France
529.75,1/22/2015,2393.06,Bikes,Germany
594,1/22/2015,84.98,Bikes,Australia
340,1/22/2015,289.35,Bikes,Canada
1449.75,1/22/2015,2629.14,Components,Canada
2833.75,1/22/2015,1718.46,Clothing,United States
749,1/22/2015,1867.83,Clothing,United Kingdom
508.5,1/22/2015,0,Clothing,France
722.75,1/22/2015,2510.94,Clothing,Germany
397,1/22/2015,4980.37,Clothing,Australia
781.5,1/22/2015,6.28,Clothing,Canada
3275.25,1/22/2015,632.93,Accessories,United States
218,1/22/2015,7.95,Accessories,United Kingdom
609.25,1/22/2015,28.99,Accessories,France
474.25,1/22/2015,1248.83,Accessories,Germany
430,1/22/2015,0,Accessories,Australia
687.5,1/22/2015,35,Accessories,Canada
340,1/23/2015,78.87,Bikes,Canada
559.5,1/23/2015,13.98,Bikes,France
2636.75,1/23/2015,4916.8,Bikes,United States
529.75,1/23/2015,0,Bikes,Germany
282,1/23/2015,0,Bikes,United Kingdom
594,1/23/2015,11.27,Bikes,Australia
1634,1/23/2015,2499.31,Components,France
3095.75,1/23/2015,8089.16,Components,United States
781.5,1/23/2015,48.24,Clothing,Canada
508.5,1/23/2015,2300.97,Clothing,France
2833.75,1/23/2015,2384.27,Clothing,United States
722.75,1/23/2015,4589.98,Clothing,Germany
749,1/23/2015,2389.06,Clothing,United Kingdom
397,1/23/2015,7.28,Clothing,Australia
687.5,1/23/2015,8.99,Accessories,Canada
609.25,1/23/2015,0,Accessories,France
3275.25,1/23/2015,37.28,Accessories,United States
474.25,1/23/2015,0,Accessories,Germany
218,1/23/2015,29.99,Accessories,United Kingdom
430,1/23/2015,2294.99,Accessories,Australia
609,1/24/2015,5117.93,Bikes,Australia
2995.25,1/24/2015,2408.72,Bikes,United States
565.75,1/24/2015,8.99,Bikes,United Kingdom
362.75,1/24/2015,4095.05,Bikes,Germany
500.25,1/24/2015,564.98,Bikes,France
409.25,1/24/2015,74.97,Bikes,Canada
550,1/24/2015,2561.13,Clothing,Australia
2941.25,1/24/2015,7391.89,Clothing,United States
571,1/24/2015,4174.03,Clothing,United Kingdom
458.75,1/24/2015,48.97,Clothing,Germany
430,1/24/2015,21.49,Clothing,France
424.25,1/24/2015,2457.53,Clothing,Canada
381.75,1/24/2015,2651.3,Accessories,Australia
2977.75,1/24/2015,2370.74,Accessories,United States
1038,1/24/2015,1129.48,Accessories,United Kingdom
818.5,1/24/2015,2366.96,Accessories,Germany
544.75,1/24/2015,0,Accessories,France
768,1/24/2015,579.46,Accessories,Canada
362.75,1/25/2015,3.99,Bikes,Germany
409.25,1/25/2015,69.97,Bikes,Canada
500.25,1/25/2015,0,Bikes,France
609,1/25/2015,78.98,Bikes,Australia
565.75,1/25/2015,126.46,Bikes,United Kingdom
2995.25,1/25/2015,3168.93,Bikes,United States
2426.75,1/25/2015,126.95,Components,France
1442.25,1/25/2015,7276.34,Components,Australia
458.75,1/25/2015,0,Clothing,Germany
424.25,1/25/2015,1130.47,Clothing,Canada
430,1/25/2015,3672.81,Clothing,France
550,1/25/2015,4.99,Clothing,Australia
571,1/25/2015,66.94,Clothing,United Kingdom
2941.25,1/25/2015,2472.31,Clothing,United States
818.5,1/25/2015,0,Accessories,Germany
768,1/25/2015,0,Accessories,Canada
544.75,1/25/2015,0,Accessories,France
381.75,1/25/2015,4.99,Accessories,Australia
1038,1/25/2015,647.94,Accessories,United Kingdom
2977.75,1/25/2015,138.95,Accessories,United States
609,1/26/2015,1384.29,Bikes,Australia
2995.25,1/26/2015,184.54,Bikes,United States
362.75,1/26/2015,2298.98,Bikes,Germany
565.75,1/26/2015,0,Bikes,United Kingdom
500.25,1/26/2015,1780.07,Bikes,France
409.25,1/26/2015,707.47,Bikes,Canada
12497.5,1/26/2015,5138.35,Components,United States
1464.75,1/26/2015,108.96,Components,Germany
1656.5,1/26/2015,4214.44,Components,United Kingdom
550,1/26/2015,9848.88,Clothing,Australia
2941.25,1/26/2015,2437.95,Clothing,United States
458.75,1/26/2015,1700.99,Clothing,Germany
571,1/26/2015,1209.47,Clothing,United Kingdom
430,1/26/2015,56.97,Clothing,France
424.25,1/26/2015,34.97,Clothing,Canada
381.75,1/26/2015,786.33,Accessories,Australia
2977.75,1/26/2015,577.27,Accessories,United States
818.5,1/26/2015,561.48,Accessories,Germany
1038,1/26/2015,2323.98,Accessories,United Kingdom
544.75,1/26/2015,1764.96,Accessories,France
768,1/26/2015,70.96,Accessories,Canada
2995.25,1/27/2015,3255.8,Bikes,United States
500.25,1/27/2015,14.98,Bikes,France
362.75,1/27/2015,7.28,Bikes,Germany
565.75,1/27/2015,539.99,Bikes,United Kingdom
609,1/27/2015,3578.82,Bikes,Australia
409.25,1/27/2015,2398.05,Bikes,Canada
1284,1/27/2015,1340.38,Components,Canada
2941.25,1/27/2015,85.43,Clothing,United States
430,1/27/2015,98.49,Clothing,France
458.75,1/27/2015,8.98,Clothing,Germany
571,1/27/2015,2474.05,Clothing,United Kingdom
550,1/27/2015,80.96,Clothing,Australia
424.25,1/27/2015,36.27,Clothing,Canada
2977.75,1/27/2015,44.97,Accessories,United States
544.75,1/27/2015,0,Accessories,France
818.5,1/27/2015,34.99,Accessories,Germany
1038,1/27/2015,100.46,Accessories,United Kingdom
381.75,1/27/2015,4739.05,Accessories,Australia
768,1/27/2015,568.98,Accessories,Canada
409.25,1/28/2015,17.97,Bikes,Canada
565.75,1/28/2015,89.97,Bikes,United Kingdom
2995.25,1/28/2015,4280.74,Bikes,United States
500.25,1/28/2015,0,Bikes,France
362.75,1/28/2015,74.97,Bikes,Germany
609,1/28/2015,92.96,Bikes,Australia
424.25,1/28/2015,816.41,Clothing,Canada
571,1/28/2015,49.99,Clothing,United Kingdom
2941.25,1/28/2015,7611.37,Clothing,United States
430,1/28/2015,2344.98,Clothing,France
458.75,1/28/2015,60.9,Clothing,Germany
550,1/28/2015,126.94,Clothing,Australia
768,1/28/2015,0,Accessories,Canada
1038,1/28/2015,2389.06,Accessories,United Kingdom
2977.75,1/28/2015,231.91,Accessories,United States
544.75,1/28/2015,9.99,Accessories,France
818.5,1/28/2015,4704.06,Accessories,Germany
381.75,1/28/2015,2367.5,Accessories,Australia
500.25,1/29/2015,1217.14,Bikes,France
2995.25,1/29/2015,3040.42,Bikes,United States
362.75,1/29/2015,2445.64,Bikes,Germany
565.75,1/29/2015,564.48,Bikes,United Kingdom
609,1/29/2015,3995.45,Bikes,Australia
409.25,1/29/2015,237.54,Bikes,Canada
2442.25,1/29/2015,5689.28,Components,Australia
1284,1/29/2015,3354.42,Components,Canada
430,1/29/2015,1595.25,Clothing,France
2941.25,1/29/2015,4110.93,Clothing,United States
458.75,1/29/2015,2451.65,Clothing,Germany
571,1/29/2015,574.98,Clothing,United Kingdom
550,1/29/2015,14.98,Clothing,Australia
424.25,1/29/2015,1705.98,Clothing,Canada
544.75,1/29/2015,8.99,Accessories,France
2977.75,1/29/2015,24.97,Accessories,United States
818.5,1/29/2015,9.99,Accessories,Germany
1038,1/29/2015,2465.33,Accessories,United Kingdom
381.75,1/29/2015,2.29,Accessories,Australia
768,1/29/2015,0,Accessories,Canada
409.25,1/30/2015,32.28,Bikes,Canada
500.25,1/30/2015,89.98,Bikes,France
609,1/30/2015,2601.53,Bikes,Australia
2995.25,1/30/2015,1995.13,Bikes,United States
362.75,1/30/2015,2377.93,Bikes,Germany
565.75,1/30/2015,4.99,Bikes,United Kingdom
424.25,1/30/2015,98.5,Clothing,Canada
430,1/30/2015,2382.96,Clothing,France
550,1/30/2015,594.98,Clothing,Australia
2941.25,1/30/2015,6562.99,Clothing,United States
458.75,1/30/2015,63.98,Clothing,Germany
571,1/30/2015,138.97,Clothing,United Kingdom
768,1/30/2015,0,Accessories,Canada
544.75,1/30/2015,43.47,Accessories,France
381.75,1/30/2015,542.28,Accessories,Australia
2977.75,1/30/2015,2402,Accessories,United States
818.5,1/30/2015,55.47,Accessories,Germany
1038,1/30/2015,33.96,Accessories,United Kingdom
609,1/31/2015,5938.52,Bikes,Australia
565.75,1/31/2015,0,Bikes,United Kingdom
2995.25,1/31/2015,4995.56,Bikes,United States
362.75,1/31/2015,3420.47,Bikes,Germany
409.25,1/31/2015,74.98,Bikes,Canada
500.25,1/31/2015,606.75,Bikes,France
550,1/31/2015,7040.42,Clothing,Australia
571,1/31/2015,0,Clothing,United Kingdom
2941.25,1/31/2015,78.46,Clothing,United States
458.75,1/31/2015,805.33,Clothing,Germany
424.25,1/31/2015,60.92,Clothing,Canada
430,1/31/2015,777.34,Clothing,France
381.75,1/31/2015,2405.9,Accessories,Australia
1038,1/31/2015,30.48,Accessories,United Kingdom
2977.75,1/31/2015,90.93,Accessories,United States
818.5,1/31/2015,97.97,Accessories,Germany
768,1/31/2015,59.98,Accessories,Canada
544.75,1/31/2015,44.98,Accessories,France
