SalesOrderNumber,OrderDate,ItemsSold,SalesAmount,Country,ProductsEnum
SO61360,1/2/2015,5,2419.96,United States,2
SO61361,1/2/2015,2,1174.48,Australia,2
SO61362,1/2/2015,2,2297.28,Australia,1
SO61363,1/2/2015,3,756.33,United States,1
SO61364,1/2/2015,2,2393.06,United States,2
SO61365,1/2/2015,2,1735.98,United States,2
SO61366,1/2/2015,4,2453.04,France,1
SO61367,1/2/2015,4,2452.04,Australia,1
SO61368,1/2/2015,2,2419.06,Australia,3
SO61369,1/2/2015,1,742.35,Australia,2
SO61370,1/2/2015,2,2419.06,Australia,1
SO61371,1/2/2015,1,539.99,Australia,3
SO61372,1/3/2015,1,7.95,United States,2
SO61373,1/3/2015,1,9.99,Australia,4
SO61374,1/3/2015,1,34.99,Australia,1
SO61375,1/3/2015,1,34.99,Australia,2
SO61376,1/3/2015,1,7.95,Australia,2
SO61377,1/3/2015,1,8.99,Australia,2
SO61378,1/3/2015,1,8.99,Australia,2
SO61379,1/3/2015,3,2479.94,France,2
SO61380,1/3/2015,3,2332.28,Germany,2
SO61381,1/3/2015,2,2329.99,United Kingdom,2
SO61382,1/3/2015,4,2331.95,Germany,2
SO61383,1/3/2015,3,2396.96,United Kingdom,1
SO61384,1/3/2015,2,53.98,United States,1
SO61385,1/3/2015,2,10.24,Canada,2
SO61386,1/3/2015,3,36.27,United States,1
SO61387,1/3/2015,2,13.98,United States,2
SO61388,1/3/2015,2,27.28,Canada,2
SO61389,1/3/2015,1,32.6,United States,2
SO61390,1/3/2015,3,68.97,United States,2
SO61391,1/3/2015,2,33.98,Canada,1
SO61392,1/3/2015,1,24.99,United States,2
SO61393,1/3/2015,3,71.58,Canada,1
SO61394,1/3/2015,3,109.47,Canada,1
SO61395,1/3/2015,3,67.93,United States,2
SO61396,1/3/2015,3,89.97,Canada,2
SO61397,1/3/2015,1,4.99,Canada,3
SO61398,1/3/2015,1,4.99,Canada,3
SO61399,1/3/2015,2,39.98,United States,1
SO61400,1/3/2015,2,39.98,United States,3
SO61401,1/3/2015,3,80.96,Canada,2
SO61402,1/3/2015,3,81.46,United States,1
SO61403,1/3/2015,1,4.99,France,2
SO61404,1/3/2015,2,71.97,United Kingdom,1
SO61405,1/3/2015,3,37.93,Germany,2
SO61406,1/3/2015,4,123.96,France,1
SO61407,1/3/2015,3,126.28,France,2
SO61408,1/3/2015,2,58.98,United Kingdom,2
SO61409,1/3/2015,5,2365.95,United States,1
SO61410,1/3/2015,3,2324.92,United States,1
SO61411,1/3/2015,4,2344.96,United States,2
SO61412,1/3/2015,7,2429.93,United States,1
SO61413,1/3/2015,3,2309.97,United States,2
SO61414,1/3/2015,2,2354.98,United States,1
SO61415,1/3/2015,4,2400.95,Canada,1
SO61416,1/3/2015,3,2428.05,Germany,3
SO61417,1/3/2015,1,1120.49,Australia,2
SO61418,1/3/2015,4,1184.46,Australia,1
SO61419,1/3/2015,1,1120.49,Australia,4
SO61420,1/3/2015,4,2380.95,Australia,1
SO61421,1/3/2015,2,2393.06,Canada,2
SO61422,1/3/2015,4,2453.04,Canada,1
SO61423,1/3/2015,4,600.46,Germany,1
SO61424,1/3/2015,2,574.98,Germany,1
SO61425,1/3/2015,2,1249.84,Australia,2
SO61426,1/3/2015,4,588.96,Australia,2
SO61427,1/3/2015,1,539.99,Australia,2
SO61428,1/4/2015,4,2482.23,Australia,1
SO61429,1/4/2015,4,2514.93,Australia,2
SO61430,1/4/2015,1,34.99,Canada,2
SO61431,1/4/2015,2,28.98,Australia,2
SO61432,1/4/2015,3,37.27,Australia,2
SO61433,1/4/2015,4,45.22,Australia,2
SO61434,1/4/2015,2,13.98,Australia,2
SO61435,1/4/2015,2,62.98,Australia,2
SO61436,1/4/2015,4,47.96,Australia,1
SO61437,1/4/2015,5,601.44,United Kingdom,2
SO61438,1/4/2015,2,1754.98,Germany,1
SO61439,1/4/2015,2,1750.98,United Kingdom,2
SO61440,1/4/2015,2,819.48,Germany,2
SO61441,1/4/2015,4,2359.46,France,1
SO61442,1/4/2015,2,2329.99,France,1
SO61443,1/4/2015,1,53.99,Canada,3
SO61444,1/4/2015,3,32.27,Australia,2
SO61445,1/4/2015,2,23.78,Canada,2
SO61446,1/4/2015,3,61.08,Canada,2
SO61447,1/4/2015,3,43.97,Canada,2
SO61448,1/4/2015,1,29.99,United States,3
SO61449,1/4/2015,2,36.59,Canada,2
SO61450,1/4/2015,3,37.27,United States,2
SO61451,1/4/2015,5,144.45,Canada,1
SO61452,1/4/2015,2,32.28,Canada,3
SO61453,1/4/2015,2,14.98,Canada,2
SO61454,1/4/2015,3,69.97,Canada,2
SO61455,1/4/2015,2,94.48,Canada,1
SO61456,1/4/2015,2,68.49,United States,2
SO61457,1/4/2015,2,7.28,United States,3
SO61458,1/4/2015,2,7.28,Canada,2
SO61459,1/4/2015,2,68.49,France,2
SO61460,1/4/2015,3,93.48,France,2
SO61461,1/4/2015,4,114.47,Canada,2
SO61462,1/4/2015,2,37.29,Canada,1
SO61463,1/4/2015,1,35,United States,2
SO61464,1/4/2015,1,21.98,United States,2
SO61465,1/4/2015,5,659.94,United States,2
SO61466,1/4/2015,3,2357.28,United States,1
SO61467,1/4/2015,2,750.3,France,1
SO61468,1/4/2015,2,777.34,France,2
SO61469,1/4/2015,1,1214.85,France,2
SO61470,1/4/2015,5,2462.03,United Kingdom,1
SO61471,1/4/2015,4,1173.96,Australia,2
SO61472,1/4/2015,2,2297.28,Australia,2
SO61473,1/4/2015,2,2304.98,Australia,1
SO61474,1/4/2015,1,742.35,United States,2
SO61475,1/4/2015,2,2419.06,Canada,4
SO61476,1/4/2015,3,563.77,United States,1
SO61477,1/4/2015,4,1189.46,Canada,2
SO61478,1/4/2015,4,1158.46,United States,1
SO61479,1/4/2015,2,1709.98,United States,1
SO61480,1/4/2015,1,1120.49,France,2
SO61481,1/4/2015,1,769.49,Australia,3
SO61482,1/5/2015,3,32.27,Australia,2
SO61483,1/5/2015,3,37.27,Australia,1
SO61484,1/5/2015,2,58.98,Australia,2
SO61485,1/5/2015,1,69.99,Australia,2
SO61486,1/5/2015,3,69.97,Australia,2
SO61487,1/5/2015,1,49.99,Australia,1
SO61488,1/5/2015,3,848.47,United Kingdom,1
SO61489,1/5/2015,3,2344.26,United Kingdom,1
SO61490,1/5/2015,4,2363.96,France,1
SO61491,1/5/2015,4,2369.97,France,2
SO61492,1/5/2015,1,2294.99,United Kingdom,3
SO61493,1/5/2015,1,53.99,United States,2
SO61494,1/5/2015,1,7.95,United States,3
SO61495,1/5/2015,1,49.99,Canada,4
SO61496,1/5/2015,3,31.27,Canada,1
SO61497,1/5/2015,3,68.97,United States,2
SO61498,1/5/2015,3,143.78,United States,1
SO61499,1/5/2015,5,111.44,Canada,2
SO61500,1/5/2015,3,43.97,United States,2
SO61501,1/5/2015,3,71.58,United States,2
SO61502,1/5/2015,3,69.97,Canada,2
SO61503,1/5/2015,1,29.99,United States,4
SO61504,1/5/2015,4,74.46,Canada,1
SO61505,1/5/2015,1,69.99,United States,2
SO61506,1/5/2015,2,133.49,United States,2
SO61507,1/5/2015,1,4.99,Canada,2
SO61508,1/5/2015,2,39.98,United Kingdom,2
SO61509,1/5/2015,4,40.22,United Kingdom,1
SO61510,1/5/2015,2,28.98,United Kingdom,3
SO61511,1/5/2015,2,23.78,France,1
SO61512,1/5/2015,2,67.49,United Kingdom,2
SO61513,1/5/2015,2,57.98,Germany,2
SO61514,1/5/2015,1,21.49,Germany,2
SO61515,1/5/2015,3,36.27,United Kingdom,2
SO61516,1/5/2015,2,7.28,United Kingdom,1
SO61517,1/5/2015,1,35,Canada,1
SO61518,1/5/2015,2,39.98,United States,2
SO61519,1/5/2015,3,2351.96,United States,1
SO61520,1/5/2015,2,76.97,United States,2
SO61521,1/5/2015,5,2394.46,Canada,2
SO61522,1/5/2015,2,1754.98,Australia,2
SO61523,1/5/2015,5,2539.42,Australia,1
SO61524,1/5/2015,4,1184.46,Australia,2
SO61525,1/5/2015,3,2334.97,Australia,1
SO61526,1/5/2015,2,1249.84,Canada,3
SO61527,1/5/2015,2,1249.84,Canada,3
SO61528,1/5/2015,2,777.34,United States,2
SO61529,1/5/2015,2,1223.84,Canada,2
SO61530,1/5/2015,2,574.98,Canada,2
SO61531,1/5/2015,5,616.91,United States,1
SO61532,1/5/2015,3,557.97,United States,1
SO61533,1/5/2015,2,548.98,United States,2
SO61534,1/5/2015,5,616.91,United States,1
SO61535,1/5/2015,2,548.98,United States,2
SO61536,1/5/2015,2,1750.98,United States,2
SO61537,1/5/2015,4,1169.46,United Kingdom,1
SO61538,1/5/2015,3,848.47,Australia,1
SO61539,1/6/2015,3,37.27,Australia,2
SO61540,1/6/2015,4,100.46,Australia,1
SO61541,1/6/2015,1,69.99,Australia,2
SO61542,1/6/2015,2,39.98,Australia,2
SO61543,1/6/2015,2,6.28,Australia,2
SO61544,1/6/2015,2,57.98,Australia,2
SO61545,1/6/2015,2,58.98,Australia,2
SO61546,1/6/2015,1,8.99,Australia,2
SO61547,1/6/2015,3,1714.97,Germany,2
SO61548,1/6/2015,4,2375.95,Germany,1
SO61549,1/6/2015,1,2319.99,United Kingdom,2
SO61550,1/6/2015,4,2337.27,United Kingdom,1
SO61551,1/6/2015,2,59.48,United States,2
SO61552,1/6/2015,3,88.97,Canada,2
SO61553,1/6/2015,2,58.98,United States,2
SO61554,1/6/2015,3,60.47,United States,1
SO61555,1/6/2015,3,32.27,Canada,2
SO61556,1/6/2015,2,36.59,United States,2
SO61557,1/6/2015,1,32.6,United States,2
SO61558,1/6/2015,3,37.27,Canada,1
SO61559,1/6/2015,4,96.07,Canada,2
SO61560,1/6/2015,3,49.97,Canada,1
SO61561,1/6/2015,2,12.94,United States,1
SO61562,1/6/2015,2,56.97,Canada,2
SO61563,1/6/2015,2,39.98,Germany,1
SO61564,1/6/2015,1,4.99,Germany,3
SO61565,1/6/2015,2,7.28,Germany,1
SO61566,1/6/2015,3,71.58,United Kingdom,1
SO61567,1/6/2015,3,63.97,France,2
SO61568,1/6/2015,2,27.28,United Kingdom,3
SO61569,1/6/2015,3,69.97,France,1
SO61570,1/6/2015,5,205.26,France,1
SO61571,1/6/2015,2,59.98,Germany,1
SO61572,1/6/2015,3,34.47,United Kingdom,2
SO61573,1/6/2015,2,13.98,United Kingdom,3
SO61574,1/6/2015,2,23.78,United Kingdom,2
SO61575,1/6/2015,2,71.97,Canada,2
SO61576,1/6/2015,4,50.23,United States,2
SO61577,1/6/2015,2,56.97,United States,2
SO61578,1/6/2015,1,53.99,United Kingdom,3
SO61579,1/6/2015,3,106.96,United States,1
SO61580,1/6/2015,2,2374.98,Canada,2
SO61581,1/6/2015,3,2395.96,United States,1
SO61582,1/6/2015,2,777.34,United Kingdom,2
SO61583,1/6/2015,2,2413.06,France,1
SO61584,1/6/2015,2,1155.48,Australia,1
SO61585,1/6/2015,1,1120.49,Australia,2
SO61586,1/6/2015,4,1151.76,Australia,1
SO61587,1/6/2015,3,2344.26,Australia,2
SO61588,1/6/2015,2,2354.99,Australia,2
SO61589,1/6/2015,3,756.33,United States,3
SO61590,1/6/2015,2,2419.06,United States,3
SO61591,1/6/2015,4,620.46,United States,1
SO61592,1/6/2015,2,1174.48,United Kingdom,1
SO61593,1/6/2015,3,1164.47,Germany,2
SO61594,1/6/2015,5,616.95,France,2
SO61595,1/6/2015,4,607.96,United Kingdom,1
SO61596,1/6/2015,1,769.49,Australia,4
SO61597,1/6/2015,3,563.77,Australia,2
SO61598,1/7/2015,3,132.97,Australia,2
SO61599,1/7/2015,2,7.28,Australia,2
SO61600,1/7/2015,1,34.99,Australia,1
SO61601,1/7/2015,4,1749.96,France,1
SO61602,1/7/2015,4,2519.93,France,1
SO61603,1/7/2015,2,2451.3,France,1
SO61604,1/7/2015,2,2341.97,United Kingdom,2
SO61605,1/7/2015,2,62.98,United States,2
SO61606,1/7/2015,3,68.97,United States,2
SO61607,1/7/2015,3,64.97,Canada,2
SO61608,1/7/2015,4,93.46,United States,2
SO61609,1/7/2015,2,13.98,Canada,1
SO61610,1/7/2015,3,147.28,United States,2
SO61611,1/7/2015,2,56.48,Canada,2
SO61612,1/7/2015,4,158.88,Canada,1
SO61613,1/7/2015,3,38.88,Canada,2
SO61614,1/7/2015,6,106.93,Canada,2
SO61615,1/7/2015,3,49.97,Canada,1
SO61616,1/7/2015,3,78.48,United States,1
SO61617,1/7/2015,1,69.99,Canada,2
SO61618,1/7/2015,2,119.98,United States,2
SO61619,1/7/2015,2,39.98,Canada,2
SO61620,1/7/2015,3,64.47,United States,1
SO61621,1/7/2015,2,46.47,United States,2
SO61622,1/7/2015,1,21.98,United States,4
SO61623,1/7/2015,2,78.98,Germany,3
SO61624,1/7/2015,3,78.97,France,1
SO61625,1/7/2015,3,48.97,United Kingdom,2
SO61626,1/7/2015,1,3.99,France,2
SO61627,1/7/2015,2,23.78,Germany,3
SO61628,1/7/2015,3,27.77,United Kingdom,2
SO61629,1/7/2015,3,109.97,Germany,1
SO61630,1/7/2015,1,4.99,Germany,4
SO61631,1/7/2015,2,71.97,United States,1
SO61632,1/7/2015,2,13.98,United Kingdom,2
SO61633,1/7/2015,3,2457.33,United States,1
SO61634,1/7/2015,3,2334.98,United States,2
SO61635,1/7/2015,5,2451.44,United States,1
SO61636,1/7/2015,2,2329.98,Canada,1
SO61637,1/7/2015,1,2319.99,United States,1
SO61638,1/7/2015,3,1293.33,United Kingdom,1
SO61639,1/7/2015,4,2482.23,Australia,1
SO61640,1/7/2015,3,756.33,United States,2
SO61641,1/7/2015,3,2469.05,United States,2
SO61642,1/7/2015,4,2461.55,United States,2
SO61643,1/7/2015,2,2393.06,United States,2
SO61644,1/7/2015,4,567.76,Canada,1
SO61645,1/7/2015,3,599.47,United States,2
SO61646,1/7/2015,2,548.98,Canada,2
SO61647,1/7/2015,2,1174.48,United States,3
SO61648,1/7/2015,3,1194.97,United States,1
SO61649,1/7/2015,1,1120.49,United States,3
SO61650,1/7/2015,2,1170.48,United States,2
SO61651,1/7/2015,2,1754.98,Canada,1
SO61652,1/7/2015,2,574.98,France,2
SO61653,1/7/2015,3,2398.05,Australia,1
SO61654,1/7/2015,4,2453.04,Australia,1
SO61655,1/7/2015,2,2413.06,Australia,2
SO61656,1/7/2015,2,2438.06,Australia,2
SO61657,1/8/2015,2,30.48,Australia,1
SO61658,1/8/2015,2,56.97,Australia,2
SO61659,1/8/2015,3,15.23,Australia,2
SO61660,1/8/2015,2,7.28,Australia,2
SO61661,1/8/2015,2,78.98,Australia,2
SO61662,1/8/2015,3,49.97,Australia,1
SO61663,1/8/2015,2,58.98,Australia,1
SO61664,1/8/2015,1,24.49,Australia,1
SO61665,1/8/2015,3,42.97,Australia,2
SO61666,1/8/2015,4,2482.23,Germany,2
SO61667,1/8/2015,3,2424.97,Germany,1
SO61668,1/8/2015,3,2351.96,Germany,1
SO61669,1/8/2015,1,2319.99,France,2
SO61670,1/8/2015,3,2325.96,United Kingdom,1
SO61671,1/8/2015,1,2294.99,France,3
SO61672,1/8/2015,4,2344.96,United Kingdom,2
SO61673,1/8/2015,1,53.99,Canada,2
SO61674,1/8/2015,2,58.98,Canada,1
SO61675,1/8/2015,3,63.97,Canada,2
SO61676,1/8/2015,3,60.47,United States,2
SO61677,1/8/2015,3,58.47,United States,1
SO61678,1/8/2015,3,68.97,United States,3
SO61679,1/8/2015,2,36.59,United States,2
SO61680,1/8/2015,3,38.88,United States,1
SO61681,1/8/2015,4,46.83,United States,1
SO61682,1/8/2015,2,27.28,United States,2
SO61683,1/8/2015,2,36.59,United States,2
SO61684,1/8/2015,2,34.89,United States,2
SO61685,1/8/2015,1,9.99,United States,2
SO61686,1/8/2015,3,68.97,United States,2
SO61687,1/8/2015,2,78.98,Canada,2
SO61688,1/8/2015,1,34.99,Canada,2
SO61689,1/8/2015,2,39.98,United States,1
SO61690,1/8/2015,2,71.97,United States,3
SO61691,1/8/2015,1,24.49,United States,2
SO61692,1/8/2015,2,27.28,United Kingdom,2
SO61693,1/8/2015,1,49.99,France,2
SO61694,1/8/2015,3,42.28,Germany,2
SO61695,1/8/2015,1,29.99,United Kingdom,2
SO61696,1/8/2015,2,27.28,United Kingdom,2
SO61697,1/8/2015,1,4.99,United Kingdom,1
SO61698,1/8/2015,2,7.28,France,2
SO61699,1/8/2015,3,36.27,France,1
SO61700,1/8/2015,2,7.28,France,3
SO61701,1/8/2015,3,48.97,France,1
SO61702,1/8/2015,2,37.29,United States,2
SO61703,1/8/2015,2,39.99,United States,2
SO61704,1/8/2015,2,39.99,United States,2
SO61705,1/8/2015,3,42.28,Canada,2
SO61706,1/8/2015,2,37.29,United States,2
SO61707,1/8/2015,4,128.97,United States,2
SO61708,1/8/2015,2,14.98,France,2
SO61709,1/8/2015,3,38.47,France,2
SO61710,1/8/2015,2,839.48,United States,2
SO61711,1/8/2015,4,902.46,United States,2
SO61712,1/8/2015,1,2294.99,United States,1
SO61713,1/8/2015,2,2341.97,United States,1
SO61714,1/8/2015,5,2430.44,Canada,2
SO61715,1/8/2015,4,778.62,Germany,2
SO61716,1/8/2015,4,765.32,France,1
SO61717,1/8/2015,3,776.33,Germany,2
SO61718,1/8/2015,2,1264.84,Germany,1
SO61719,1/8/2015,4,2343.96,Australia,2
SO61720,1/8/2015,1,742.35,United States,4
SO61721,1/8/2015,1,742.35,United States,2
SO61722,1/8/2015,2,751.34,United States,1
SO61723,1/8/2015,3,2398.05,Canada,2
SO61724,1/8/2015,2,2419.06,United States,2
SO61725,1/8/2015,2,2438.06,Canada,1
SO61726,1/8/2015,2,1174.48,United States,2
SO61727,1/8/2015,2,1735.98,United States,2
SO61728,1/8/2015,1,539.99,France,1
SO61729,1/8/2015,2,574.98,Germany,1
SO61730,1/8/2015,1,2384.07,Australia,2
SO61731,1/8/2015,2,548.98,Australia,2
SO61732,1/9/2015,1,24.49,Australia,2
SO61733,1/9/2015,1,7.95,Australia,2
SO61734,1/9/2015,2,574.98,France,1
SO61735,1/9/2015,4,576.95,Germany,1
SO61736,1/9/2015,2,2478.34,United Kingdom,1
SO61737,1/9/2015,2,6.28,Canada,2
SO61738,1/9/2015,1,24.99,United States,3
SO61739,1/9/2015,1,24.99,Canada,1
SO61740,1/9/2015,1,29.99,Canada,4
SO61741,1/9/2015,2,14.98,United States,2
SO61742,1/9/2015,3,49.97,United States,1
SO61743,1/9/2015,2,14.98,Canada,2
SO61744,1/9/2015,2,14.98,United States,1
SO61745,1/9/2015,1,69.99,Canada,2
SO61746,1/9/2015,2,78.98,United States,1
SO61747,1/9/2015,2,123.98,United States,2
SO61748,1/9/2015,2,123.98,United States,2
SO61749,1/9/2015,1,4.99,United States,1
SO61750,1/9/2015,1,4.99,Canada,2
SO61751,1/9/2015,2,13.98,United States,1
SO61752,1/9/2015,2,68.49,United States,2
SO61753,1/9/2015,1,4.99,Canada,1
SO61754,1/9/2015,3,64.47,United States,1
SO61755,1/9/2015,2,39.98,United States,2
SO61756,1/9/2015,3,106.96,United States,2
SO61757,1/9/2015,2,56.97,United States,1
SO61758,1/9/2015,1,69.99,United Kingdom,2
SO61759,1/9/2015,3,83.97,Germany,2
SO61760,1/9/2015,3,27.77,France,1
SO61761,1/9/2015,3,27.77,France,1
SO61762,1/9/2015,4,92.96,United Kingdom,2
SO61763,1/9/2015,3,48.97,United Kingdom,2
SO61764,1/9/2015,2,33.98,France,1
SO61765,1/9/2015,3,42.28,Canada,1
SO61766,1/9/2015,2,2354.98,United States,2
SO61767,1/9/2015,2,2324.98,United States,3
SO61768,1/9/2015,3,2376.96,United States,2
SO61769,1/9/2015,4,2367.93,United States,1
SO61770,1/9/2015,3,2332.28,Canada,2
SO61771,1/9/2015,3,2376.96,United States,2
SO61772,1/9/2015,4,1768.96,Australia,1
SO61773,1/9/2015,4,2466.32,Australia,1
SO61774,1/9/2015,3,2334.98,Australia,1
SO61775,1/9/2015,2,1268.84,United States,1
SO61776,1/9/2015,1,2384.07,United States,3
SO61777,1/9/2015,4,617.47,United States,1
SO61778,1/9/2015,2,574.98,Canada,2
SO61779,1/9/2015,2,564.48,United States,2
SO61780,1/9/2015,3,1134.47,United States,1
SO61781,1/9/2015,2,2419.06,Australia,2
SO61782,1/9/2015,4,562.96,Australia,2
SO61783,1/10/2015,1,24.99,Australia,3
SO61784,1/10/2015,3,69.97,Australia,2
SO61785,1/10/2015,4,45.22,Australia,1
SO61786,1/10/2015,2,62.98,Australia,2
SO61787,1/10/2015,1,49.99,Australia,2
SO61788,1/10/2015,2,6.28,Australia,1
SO61789,1/10/2015,1,120,Australia,3
SO61790,1/10/2015,2,36.59,Australia,2
SO61791,1/10/2015,2,36.59,Australia,1
SO61792,1/10/2015,4,1764.96,Germany,1
SO61793,1/10/2015,2,819.48,United Kingdom,2
SO61794,1/10/2015,1,2319.99,Germany,2
SO61795,1/10/2015,4,2369.96,Germany,1
SO61796,1/10/2015,3,2341.46,Germany,1
SO61797,1/10/2015,1,53.99,United States,1
SO61798,1/10/2015,2,11.94,United States,2
SO61799,1/10/2015,2,28.98,United States,1
SO61800,1/10/2015,3,79.97,Canada,2
SO61801,1/10/2015,2,34.98,Canada,2
SO61802,1/10/2015,3,69.97,United States,2
SO61803,1/10/2015,2,34.98,Canada,2
SO61804,1/10/2015,5,121.94,United States,1
SO61805,1/10/2015,2,78.98,Canada,2
SO61806,1/10/2015,2,119.98,United States,2
SO61807,1/10/2015,2,39.98,United States,2
SO61808,1/10/2015,1,4.99,United States,3
SO61809,1/10/2015,4,98.96,United States,2
SO61810,1/10/2015,2,123.98,United States,2
SO61811,1/10/2015,3,128.97,United States,1
SO61812,1/10/2015,2,39.98,Canada,1
SO61813,1/10/2015,3,67.93,United States,3
SO61814,1/10/2015,3,89.97,United States,2
SO61815,1/10/2015,2,54.98,Canada,1
SO61816,1/10/2015,1,4.99,United Kingdom,2
SO61817,1/10/2015,3,71.58,France,1
SO61818,1/10/2015,3,64.97,United Kingdom,2
SO61819,1/10/2015,1,4.99,United Kingdom,2
SO61820,1/10/2015,4,123.96,Germany,2
SO61821,1/10/2015,3,88.97,United Kingdom,1
SO61822,1/10/2015,3,48.97,United Kingdom,2
SO61823,1/10/2015,1,3.99,France,2
SO61824,1/10/2015,1,28.99,Germany,2
SO61825,1/10/2015,3,67.97,France,1
SO61826,1/10/2015,3,27.77,Germany,2
SO61827,1/10/2015,1,8.99,France,4
SO61828,1/10/2015,1,4.99,Germany,1
SO61829,1/10/2015,2,54.98,United Kingdom,2
SO61830,1/10/2015,2,39.99,United States,2
SO61831,1/10/2015,3,103.49,Canada,1
SO61832,1/10/2015,2,37.29,Canada,1
SO61833,1/10/2015,1,34.99,Germany,2
SO61834,1/10/2015,3,801.77,United States,2
SO61835,1/10/2015,4,806.76,United States,1
SO61836,1/10/2015,5,639.45,United States,2
SO61837,1/10/2015,6,2391.43,United States,1
SO61838,1/10/2015,5,2393.95,United States,1
SO61839,1/10/2015,2,771.34,France,2
SO61840,1/10/2015,4,778.62,Germany,2
SO61841,1/10/2015,2,1754.98,Australia,2
SO61842,1/10/2015,5,2386.94,Australia,1
SO61843,1/10/2015,3,1248.83,United States,2
SO61844,1/10/2015,2,2393.06,United States,2
SO61845,1/10/2015,4,2442.54,Canada,1
SO61846,1/10/2015,2,2438.06,United States,2
SO61847,1/10/2015,2,2393.06,United States,3
